Starting WebP conversion for images in public/CoupleImage...
Found 239 JPG files to convert
[1/239] Already exists: couple_100.webp
[124/239] Converted: couple_219.jpg -> couple_219.webp
[125/239] Converted: couple_22.jpg -> couple_22.webp
[126/239] Converted: couple_220.jpg -> couple_220.webp
[127/239] Converted: couple_221.jpg -> couple_221.webp
[128/239] Converted: couple_222.jpg -> couple_222.webp
[129/239] Converted: couple_223.jpg -> couple_223.webp
[130/239] Converted: couple_224.jpg -> couple_224.webp
[131/239] Converted: couple_225.jpg -> couple_225.webp
[132/239] Converted: couple_226.jpg -> couple_226.webp
[133/239] Converted: couple_227.jpg -> couple_227.webp
[134/239] Converted: couple_228.jpg -> couple_228.webp
[135/239] Converted: couple_229.jpg -> couple_229.webp
[136/239] Converted: couple_23.jpg -> couple_23.webp
[137/239] Converted: couple_230.jpg -> couple_230.webp
[138/239] Converted: couple_231.jpg -> couple_231.webp
[139/239] Converted: couple_232.jpg -> couple_232.webp
[140/239] Converted: couple_233.jpg -> couple_233.webp
[141/239] Converted: couple_234.jpg -> couple_234.webp
[142/239] Converted: couple_235.jpg -> couple_235.webp
[143/239] Converted: couple_236.jpg -> couple_236.webp
[144/239] Converted: couple_237.jpg -> couple_237.webp
[145/239] Converted: couple_238.jpg -> couple_238.webp
[146/239] Converted: couple_239.jpg -> couple_239.webp
[147/239] Converted: couple_24.jpg -> couple_24.webp
[148/239] Converted: couple_240.jpg -> couple_240.webp
[149/239] Converted: couple_241.jpg -> couple_241.webp
[150/239] Converted: couple_242.jpg -> couple_242.webp
[151/239] Converted: couple_243.jpg -> couple_243.webp
[152/239] Converted: couple_244.jpg -> couple_244.webp
[153/239] Converted: couple_245.jpg -> couple_245.webp
[154/239] Converted: couple_246.jpg -> couple_246.webp
[155/239] Converted: couple_247.jpg -> couple_247.webp
[156/239] Converted: couple_248.jpg -> couple_248.webp
[157/239] Converted: couple_249.jpg -> couple_249.webp
[158/239] Converted: couple_25.jpg -> couple_25.webp
[159/239] Converted: couple_250.jpg -> couple_250.webp
[160/239] Converted: couple_251.jpg -> couple_251.webp
[161/239] Converted: couple_252.jpg -> couple_252.webp
[162/239] Converted: couple_253.jpg -> couple_253.webp
[163/239] Converted: couple_254.jpg -> couple_254.webp
[164/239] Converted: couple_255.jpg -> couple_255.webp
[165/239] Converted: couple_256.jpg -> couple_256.webp
[166/239] Converted: couple_26.jpg -> couple_26.webp
[167/239] Converted: couple_27.jpg -> couple_27.webp
[168/239] Converted: couple_28.jpg -> couple_28.webp
[169/239] Converted: couple_29.jpg -> couple_29.webp
[170/239] Converted: couple_30.jpg -> couple_30.webp
[171/239] Converted: couple_31.jpg -> couple_31.webp
[172/239] Converted: couple_32.jpg -> couple_32.webp
[173/239] Converted: couple_33.jpg -> couple_33.webp
[174/239] Converted: couple_34.jpg -> couple_34.webp
[175/239] Converted: couple_35.jpg -> couple_35.webp
[176/239] Converted: couple_36.jpg -> couple_36.webp
